faiss_id,doc_id,chunk_id,formato,fenomeno,posicion,num_tokens,fuente,texto
0,aaaaaaa.png,aaaaaaa.png-chunk-001,imagen,,1,42,/home/jose/repositories/kernel-boyacense/corpus_adl/data/aaaaaaa.png,"Preparate para el ICFES con
nivel élite
Simulacros inteligentes, estadisticas avanzadas y
seguimiento personalizado. 0-500
Saber 11°
Calificacion oficial
Materias
Estructura real"
1,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,415,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"<!-- Start of picture text -->
CIÊNCIA PARA<br>O BRASIL<br>70 anos da Sociedade<br><!-- End of picture text -->







**70 anos da Sociedade Brasileira para o Progresso da Ciência (SBPC)** 





**Helena B. Nader Vanderlan Bolzani José Roberto Ferreira** Organizadores 







###### **Uma trajetória de 70 anos – 1948-2018** 

Em 1948, os cientistas que trabalhavam em São Paulo estavam indignados com o que se passava no Instituto Butantan, cujo diretor, Eduardo Vaz, havia demitido pesquisadores das áreas de química e endocrinologia. Vaz cumpria ordens do governador paulista, Adhemar de Barros, que decidira reduzir as atividades de pesquisa que não tivessem ligação direta com a produção de soros antiofídicos. Apesar dos protestos, os pesquisadores não conseguiram reverter as demissões. Avaliando as circunstâncias, eles sentiram-se vulneráveis e começaram a pensar em criar uma instituição abrangente, que representasse a comunidade científica, a defendesse de ingerências como a do governador de São Paulo e desenvolvesse ações de valorização da pesquisa. Estava, assim, sendo gestada a Sociedade Brasileira para o Progresso da Ciência (SBPC), que nasceu ainda naquele 1948 para se constituir em uma entidade singular na vida brasileira. Por um lado, e de acordo com a expectativa de seus fundadores, a SBPC se constituiu em peça fundamental para, primeiro, ajudar a crescer, dinamizar e mantar ativo o sistema nacional de ciência, tecnologia e inovação, e, depois, fazer o país – principalmente seus dirigentes – ver o quanto esse sistema é imprescindível para o desenvolvimento da nação. Em outra frente, certamente não prevista por seus idealizadores, a SBPC se posicionou no tecido social não mais como uma entidade estritamente científica, mas"
2,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,27,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,CIENCIA|PARA OIBRASI 70 anos da Sociedade] Brasileira para o Progresso da Ciéncia (SBPC)
3,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,203,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"###### \ CIENCIAPARA OFBRASIL 

70 anos da Sociedade Brasileira para o Progresso da Ciéncia (SBPC) 

###### **Organizadores** 

Helena Bonciani Nader Vanderlan da Silva Bolzani José Roberto Ferreira 

São Paulo 2019 



<!-- Start of picture text -->
Sociedade!<br>Brasileira para g|<br>PC Progresso da<br>Ciéncia<br><!-- End of picture text -->

Sociedade! Brasileira para g| Progresso da Ciéncia 

###### Apoio 



<!-- Start of picture text -->
APESP<br>FUNDACAO DEAMPARO A PESQUISA<br>DO ESTADO DE SAO PAULO<br><!-- End of picture text -->

Processo 2018/15093-8 

A versão em PDF deste livro está disponível em portal.sbpcnet.org.br/publicacoes/ciencia-para-o-brasil/"
4,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,481,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"###### **PUBLICADO PELA** 

Sociedade Brasileira para o Progresso da Ciência – SBPC Rua Maria Antônia, 294 – 4<sup><u>o</u></sup> andar – Vila Buarque 01222-010 São Paulo, SP – Brasil +55 11 3259.2766 | http://portal.sbpcnet.org.br 

###### **ORGANIZAÇÃO** 

Helena Bonciani Nader, Vanderlan da Silva Bolzani, José Roberto Ferreira 

###### **COLABORAÇÃO** 

Áurea Gil, Bruno de Andrea Roma, Carlos Henrique Santos, Elsa Yoko Kobaiashi, Eunice Maria Fernandes Personini, Léa Gomes de Oliveira, Rosângela P. Batista, Vivian Costa Araújo 

###### **PRODUÇÃO E EDIÇÃO** 

José Roberto Ferreira 

###### **ASSISTENTE DE EDIÇÃO** 

Angela Trabbold 

###### **REVISÃO** 

Tulio Kawata 

**PROJETO GRÁFICO E EDITORAÇÃO** Antonio Carlos Prado 

###### **TRATAMENTO DE IMAGENS** 

Clayton Policarpo 

###### **CAPA** 

Foto de Messias A. Silva/Estadão Conteúdo 

- Dados Internacionais de Catalogação na Publicação (CIP) 

- C569 Ciência para o Brasil: 70 anos da Sociedade Brasileira para o Progresso da Ciência (SBPC) [livro eletrônico] / Helena Bonciani Nader, Vanderlan da Silva Bolzani, José Roberto Ferreira (Organizadores). – São Paulo : SBPC, 2019. - 512 p. : il. ; 24 cm. Vários colaboradores. Disponível em: http://portal.sbpcnet.org.br/livro/cienciaparaobrasil.pdf Inclui bibliografia: p. 495 a 510 ISBN 978-85-86957-38-3 1. Ciência – Brasil – Sociedades, etc. 2. Educação  – Brasil. 3. Tecnologia e Inovação –  Brasil. 4. Políticas públicas – Brasil. I. Nader, Helena Bonciani (org.). II. Bolzani, Vanderlan da Silva (org.). III. Ferreira, José Roberto (org.). IV. Sociedade Brasileira para o Progresso da Ciência."
6,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,471,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"###### **Governança da SBPC no 70**<sup>**<u>o</u>**</sup> **Aniversário – 1948-2018** 



###### **DIRETORIA (2017-2019)** 

Presidente: Ildeu de Castro Moreira 

Vice-presidentes: Vanderlan da Silva Bolzani 

e Carlos Roberto Jamil Cury 

Secretário-geral: Paulo Roberto Petersen Hofmann Secretários: Ana Maria Bonetti, Claudia Masini d’Avila-Levy e Sidarta Ribeiro 

~~1~~<sup><u>o</u></sup> Tesoureiro: Lucile Maria Floeter Winter 

~~2~~<sup><u>o</u></sup> Tesoureiro: Roseli de Deus Lopes 

###### **PRESIDENTES DE HONRA** 

Ennio Candotti, Helena Bonciani Nader, José Goldemberg, Marco Antonio Raupp, Otávio Guilherme Cardoso Alves Velho, Sergio Machado Rezende, Sérgio Mascarenhas de Oliveira 

###### **CONSELHEIROS EFETIVOS** 

Ennio Candotti, Helena Bonciani Nader, José Goldemberg, Marco Antonio Raupp, Warwick Estevam Kerr (até set. 2018) 

###### **CONSELHEIROS ELEITOS** 

Adalberto Moreira Cardoso, Alfredo Wagner Berno de Almeida, Alfredo Wagner Berno de Almeida, Ana Tereza Ribeiro de Vasconcelos, Carlos Alexandre Netto, Cynthia Carvalho Martins, Cynthia Carvalho Martins, Edna Maria Ramos de Castro, Edna Maria Ramos de Castro, Eduardo Fleury Mortimer, Fernanda Antonia da Fonseca Sobral, Glaucius Oliva, Hiroshi Noda, João Ramos Torres de Mello Neto, José Antonio Aleixo da Silva, Laila Salmen Espindola, Maíra Baumgarten, Maria do Carmo Figueredo Soares, Mario Steindel, Marta Maria Castanho Almeida Pernambuco, Nelson de Luca Pretto, Regina Pekelmann Markus, Romão da Cunha Nunes, Rubens Belfort Mattos Junior, Walter Colli, Zelinda Maria Braga Hirano."
7,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,467,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"Apresentação
Sabemos que a ciência, o desenvolvimento tecnológico, a educação, o meio ambiente, 
a democracia e o Estado de Direito estão entre os requisitos de valor imensurável 
para uma vida contemporânea e digna, tanto dos cidadãos como das nações. E quanto valeria uma instituição que trabalha pela evolução da ciência? Que pro-
pugna pela ciência, pelo desenvolvimento tecnológico e pela educação universal e de 
qualidade? Que defende o meio ambiente? Que luta sem tréguas pela liberdade e pelo 
direito pleno dos cidadãos? Sabemos também que a essas indagações não há como responder, mas ao menos po-
demos nos regozijar pelo fato de essa instituição existir no Brasil e sabermos que ela 
está há setenta anos entre nós, brasileiros, lutando não só pelas causas estritas da 
ciência, mas também pelos desafios colocados para o país. Quando de sua fundação, em 1948, a Sociedade Brasileira para o Progresso da Ciên-
cia (SBPC) tinha como foco trabalhar pela ciência em diferentes aspectos. Não havia, 
então, pretensões de imiscuir-se nas grandes questões do país, mas peculiaridades 
da vida nacional lhe deram também essa missão – que ela jamais recusou; ao contrá-
rio, se imbuiu das condições para realizá-la com diligência e altruísmo. Nos setenta anos que preencheram os espaços entre 1948 e 2018, a ciência brasileira 
evoluiu consideravelmente: cresceu em todos os parâmetros, passou a contar com 
atores diversos e integrados o suficiente para se constituir em um sistema de âm-
bito nacional, e alcançou patamar de meritório destaque na ciência mundial. Houve 
obstáculos – de diferentes naturezas e ordens de grandeza; alguns previsíveis, ou-
tros inesperados –, mas não a ponto de estagnar ou desanimar nossa comunidade 
científica. Da mesma maneira, o Brasil também cresceu, se transformou e enfrentou obstácu-
los os mais diversos – certamente o maior e com feições mais graves foi a ditadura 
militar (1964-1985), que suprimiu direitos e vidas."
9,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,488,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"foi sempre liderada com dedicação por cientistas, pesquisadores e professores que 
encararam suas passagens pela SBPC como contribuição ao avanço da sociedade 
brasileira. Assim, a SBPC construiu representatividade junto à comunidade cientí-
fica; adquiriu confiança e respeito de outras instituições, no Brasil e no exterior; 
estabeleceu o diálogo com os poderes públicos; e conquistou o reconhecimento da 
sociedade brasileira como um baluarte não apenas da ciência, mas também de cau-
sas importantes para a nação. Essa é a SBPC que recentemente atingiu sete décadas de existência e cuja trajetória, 
1948-2018, em seus principais aspectos, apresentamos neste livro. Não se tratou de dar 
a essas páginas cores meramente festivas, mas sim de fazer um registro comemorativo 
dos setenta anos da SBPC com os matizes fiéis à sua história e à sua realidade. Agradecemos à Fundação de Amparo à Pesquisa do Estado de São Paulo (Fapesp) por 
viabilizar esta publicação e, com isso, manter estreitos os laços que a unem à SBPC 
desde o momento em que o governo paulista decidiu criar o seu sistema de financia-
mento à atividade científica, em 1960. Nossos agradecimentos aos autores, jornalistas científicos que se entregaram ao 
trabalho de fazer este livro existir. O nosso muito obrigado a todos do Centro de 
Memória Amélia Império Hamburguer da SBPC, que inauguramos em março de 
2017 e cujo acervo foi fundamental para a produção deste livro. Nossos agradeci-
mentos efusivos às equipes de funcionários, do passado e do presente, da SBPC por 
sua dedicação e empenho para o sucesso de todas as nossas atividades. São também 
merecedores de nossa gratidão aqueles que contribuíram para a consecução deste 
livro ao nos fornecer informações, ceder documentos ou nos honrar com seus de-
poimentos. Acreditamos que a frase de Carlos Drummond de Andrade – “sou do tamanho da-
quilo que sinto, que vejo e que faço, e não do tamanho da minha estatura” – define 
bem a nossa SBPC: pequena estrutura de pessoal, localização em espaço modesto e 
recursos financeiros sempre restritos, porém gigante no trabalho que realiza. Helena Bonciani Nader, 
Presidente de Honra da SBPC"
10,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,499,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"SUMÁRIO
Abertura
É SBPC, mas poderia ser também SCPB – Sociedade Científica  
para o Progresso do Brasil – José Roberto Ferreira. . . . . . . . . . . . . . . . . . . . . . . . . 11
Entrada
Isaias Raw - A trajetória irrequieta e profícua de um dos  
fundadores da SBPC – Carlos Fioravanti e José Roberto Ferreira. . . . . . . . . . . . . . 43
Capítulo 1 Fundação 
Nasce a SBPC, cresce a ciência brasileira – Carlos Fioravanti . . . . . . . . . . . . . . . . 51
Capítulo 2 Os anos de chumbo
A SBPC no governo dos generais (1964-1985) – José Roberto Ferreira  
(Colaborou Ulisses Capozzoli) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 73	
Capítulo 3 Nova República
Colaboração, sem colaboracionismo – Fernando Tadeu Moraes. . . . . . . . . . . . . . 121
Capítulo 4 Reuniões Anuais
Você vai à SBPC? – Fabíola de Oliveira. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 153
Capítulo 5 Reuniões Regionais
Pelo interior do Brasil – Fabíola de Oliveira. . . . . . . . . . . . . . . . . . ."
12,cienciaparaobrasil.pdf,cienciaparaobrasil.pdf-chunk-001,pdf,,1,499,/home/jose/repositories/kernel-boyacense/corpus_adl/data/cienciaparaobrasil.pdf,"Capítulo 11 Federação da ciência
A SBPC distribuída pelo Brasil. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 284
11A Região Norte 
Encontros e compromissos na Amazônia – Kátia Brasil  
e Izabel Santos. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 285
11B Região Nordeste
Ciência para um novo Nordeste – Flamínio Araripe . . . . . . . . . . . . . . . . . . 300
11C Região Sul
Nas raízes da SBPC – Fábio de Castro, Moacir Loth  
e Samuel Antenor. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 313
11D Região Sudeste
Caminhos cruzados – Vanessa Fagundes. . . . . . . . . . . . . . . . . . . . . . . . . . . 327
11E Região Centro-Oeste 
Contribuições locais e nacionais – Fernando Tadeu Moraes. . . . . . . . . . ."
